Species	Class	Clade	Order	Family	Lepidoptera_group
Plebejus argus	Insecta	Lepidoptera	Lepidoptera	Lycaenidae	Butterfly
Schrankia costaestrigalis	Insecta	Lepidoptera	Lepidoptera	Erebidae	Moth
Spilosoma lubricipeda	Insecta	Lepidoptera	Lepidoptera	Erebidae	Moth
Spodoptera exigua	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Spodoptera frugiperda	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Spodoptera litura	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Thyatira batis	Insecta	Lepidoptera	Lepidoptera	Drepanidae	Moth
Tinea trinotella	Insecta	Lepidoptera	Lepidoptera	Tineidae	Moth
Vanessa atalanta	Insecta	Lepidoptera	Lepidoptera	Nymphalidae	Butterfly
Vanessa cardui	Insecta	Lepidoptera	Lepidoptera	Nymphalidae	Butterfly
Xestia xanthographa	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Zerene cesonia	Insecta	Lepidoptera	Lepidoptera	Pieridae	Butterfly
Zeuzera pyrina	Insecta	Lepidoptera	Lepidoptera	Cossidae	Moth
Zygaena filipendulae	Insecta	Lepidoptera	Lepidoptera	Zygaenidae	Moth
