Phylogenetic_Order,Megaclass,Superclass,Class,Subclass,Infraclass,Megacohort,Supercohort,Cohort,Subcohort,Infracohort,Section,Subsection,Division,Subdivision,Series,Subseries,Superorder,Order,Suborder,Infraorder,Family,Validity,Examined/not examined,Monophyly,
Clade06c,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Notacanthiformes,,,Halosauridae,Valid,Examined,Yes,
Clade06c,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Notacanthiformes,,,Notacanthidae,Valid,Examined,Monotypic*,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Colocongridae,Not validated,_,_,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Anguillidae,Valid,Examined,Monotypic*,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Chlopsidae,Valid,Not examined,_,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Congridae,Valid,Examined,Monotypic*,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Cyematidae,Valid,Not examined,_,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Derichthyidae,Valid,Not examined,_,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Eurypharyngidae,Valid,Examined,Monotypic*,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Heterenchelyidae,Valid,Not examined,_,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Monognathidae,Valid,Not examined,_,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Moringuidae,Valid,Not examined,_,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Muraenesocidae,Valid,Examined,Monotypic*,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Muraenidae,Valid,Examined,Monotypic*,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Myrocongridae,Valid,Not examined,_,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Nemichthyidae,Valid,Examined,Monotypic*,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Nettastomatidae,Valid,Not examined,_,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Ophichthidae,Valid,Examined,Yes,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Protanguillidae,Valid,Not examined,_,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Saccopharyngidae,Valid,Examined,Monotypic*,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Serrivomeridae,Valid,Examined,Monotypic*,
Clade06d,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Elopocephalai,,Elopomorpha,,,,,,,,,,Anguilliformes,,,Synaphobranchidae,Valid,Not examined,_,
Clade07a,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Osteoglossomorpha,,,,,,,,,,,Hiodontiformes,,,Hiodontidae,Valid,Examined,Yes,
Clade07b,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Osteoglossomorpha,,,,,,,,,,,Osteoglossiformes,,,Arapaimidae,Not validated,_,_,
Clade07b,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Osteoglossomorpha,,,,,,,,,,,Osteoglossiformes,,,Gymnarchidae,Valid,Examined,Monotypic*,
Clade07b,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Osteoglossomorpha,,,,,,,,,,,Osteoglossiformes,,,Mormyridae,Valid,Examined,Monotypic*,
Clade07b,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Osteoglossomorpha,,,,,,,,,,,Osteoglossiformes,,,Notopteridae,Valid,Examined,Yes,
Clade07b,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Osteoglossomorpha,,,,,,,,,,,Osteoglossiformes,,,Osteoglossidae,Valid,Examined,Yes,
Clade07b,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Osteoglossomorpha,,,,,,,,,,,Osteoglossiformes,,,Pantodontidae,Valid,Examined,Monotypic*,
Clade08a,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Clupei,,,,,,,,,Clupeiformes,Denticipitoidei,,Denticipitidae,Valid,Examined,Monotypic*,
Clade08b,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Teleostei,Osteoglossocephalai,Clupeocephala,Otomorpha,Clupei,,,,,,,,,Clupeiformes,Clupeoidei,,Dussumieriidae,Not validated,_,_,
